"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000187608.5",660.860817479944,-0.36857680772046,0.319237896720655,-1.15455217412041,0.248273861257498,0.561093781774698,"ISG15","9636"
"ENSG00000188157.9",15131.1784301574,-0.109356681095871,0.157335120834728,-0.695055754339451,0.487020361569725,0.7556018408313,"AGRN","375790"
"ENSG00000217801.5",155.461371282509,-0.346180842121742,0.271796314314772,-1.27367747055181,0.202777744059878,0.51499541489598,"LOC100288175","100288175"
"ENSG00000273443.1",3.97030963005414,-0.26263579215925,0.849757989682534,-0.309071283057156,0.757267303244528,0.902769600769024,NA,NA
"ENSG00000237330.2",4.63842324483446,0.197092616017898,0.512519778566264,0.384556117169273,0.70056631172942,0.878122525386945,"RNF223","401934"
"ENSG00000131591.13",1221.58395561061,0.236766093816493,0.181423678057305,1.30504516473152,0.19187746909185,0.502708905204623,"C1orf159","54991"
"ENSG00000223823.1",9.25385426014118,1.00011456887626,0.535654536484579,1.86708876851836,0.0618891926014346,0.301110904067807,"LINC01342","254099"
"ENSG00000207730.1",0.736626984710323,-0.281583566287008,1.35086488046858,-0.208446877521409,0.834880057114275,NA,"MIR200B","406984"
"ENSG00000207607.1",0.510048300415776,-0.128793884583469,1.39567328770069,-0.0922808265504969,0.926474921557769,NA,"MIR200A","406983"
"ENSG00000198976.1",1.43232276608986,-0.74315922125128,0.898450580953015,-0.827156481398218,0.40814837419164,NA,"MIR429","554210"
"ENSG00000272141.1",304.955198971221,-0.033439885630597,0.379468545366204,-0.0881229446786586,0.929778960103521,0.974780595980298,NA,NA
"ENSG00000205231.1",9.57905243647002,0.301902767928781,0.410389369537205,0.735649581443194,0.46194398035766,0.738445795353728,"TTLL10-AS1","100506376"
"ENSG00000162571.9",31.6810076495673,-0.0595996354238195,0.357103372860653,-0.166897430697403,0.867450754802192,0.949884347889424,"TTLL10","254173"
"ENSG00000186891.9",158.113943379013,2.34578087319793,0.51430243319632,4.56109231025648,5.08882018125752e-06,0.000750257137534049,"TNFRSF18","8784"
"ENSG00000186827.6",322.217054869865,0.489220178058864,0.3243871261735,1.5081368481843,0.131519506095326,0.42547675587119,"TNFRSF4","7293"
"ENSG00000078808.12",7699.82658251492,-0.165790904538867,0.146219804338447,-1.13384712343835,0.256858680307474,0.569764192045085,"SDF4","51150"
"ENSG00000176022.3",991.791789354473,-0.0356745757225481,0.208724871026287,-0.170916745796217,0.864289229170611,0.948667614572202,"B3GALT6","126792"
"ENSG00000184163.3",54.7911137632764,0.313055591966414,0.294977150865126,1.061287598203,0.28855922007915,0.601082261863627,"C1QTNF12","388581"
"ENSG00000260179.1",24.897882885742,0.857031536628413,0.37229511645987,2.302021967889,0.021333933352507,0.184315182828517,NA,NA
"ENSG00000160087.16",2391.31300234826,0.13320810033967,0.100815145441172,1.32131040189194,0.186397887049781,0.495951845603626,"UBE2J2","118424"
"ENSG00000230415.1",85.9026072452492,-1.05083788386147,0.255484944256736,-4.11311080157229,3.90362904778106e-05,0.00404834533377294,NA,NA
"ENSG00000162572.15",1001.67409083248,-0.886479810057389,0.23620537881838,-3.753004332467,0.000174727834056653,0.0128802747943114,"SCNN1D","6339"
"ENSG00000131584.14",4341.65494441814,-0.144174736030894,0.18845872480733,-0.76502022487041,0.444259501409214,0.724634186459225,"ACAP3","116983"
"ENSG00000169972.7",419.352550479422,0.00892574122221388,0.14649657773482,0.0609279845319714,0.951416562408147,0.983026120016733,"PUSL1","126789"
"ENSG00000127054.14",8221.21529955649,0.00456349423234498,0.116607410689339,0.0391355421183552,0.968782324151891,0.989756822535971,"INTS11","54973"
"ENSG00000240731.1",311.373472755684,0.0718405721633116,0.174292670543901,0.412183552751383,0.68020489138587,0.86724877675473,NA,NA
"ENSG00000224051.2",1455.17471421073,-0.239630210247104,0.123496889386537,-1.94037446155487,0.0523341979685946,0.280678406147276,"CPTP","80772"
"ENSG00000169962.4",168.763303257457,0.43192327697986,0.24689543821515,1.74941781064206,0.0802188243886761,0.33845584925806,"TAS1R3","83756"
"ENSG00000107404.13",5388.2108375261,-0.00044814723502351,0.110212212347463,-0.00406622120614589,0.996755633819285,0.999057336399445,"DVL1","1855"
"ENSG00000162576.12",7990.2254753216,-0.155999561122181,0.232070179473795,-0.672208559824018,0.501450932402957,0.765450760090142,"MXRA8","54587"
"ENSG00000175756.9",2927.3072460543,-0.1121523865108,0.132327301533105,-0.847537773471047,0.396695441887379,0.690593419813879,"AURKAIP1","54998"
"ENSG00000223663.2",3.04281623367661,-0.167865040696921,0.563947830841403,-0.297660584041025,0.765962229809614,0.906872414726623,NA,NA
"ENSG00000221978.7",26713.1569868815,0.247842897901681,0.171193201160001,1.44773797219927,0.147690345926573,0.448031830179877,"CCNL2","81669"
